STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Grocery Chain
DOMINICK'S # 113/1113,41633.0,5033.0,10001.0,A,6312 N NAGLE AVE,60646.0,NORWOOD PARK,10.0,41.0,17031100200.0,170311000000000.0,1132586.749,1941599.641,41.99598529,-87.78763712,"(41.9959852861, -87.7876371171)",1
STRACK & VAN TIL,1798602.0,308026.0,65400.0,A,2627 N ELSTON AVE,60647.0,LOGAN SQUARE,22.0,1.0,17031830900.0,170318000000000.0,1161027.148,1917565.451,41.92948927,-87.68368782,"(41.929489274, -87.6836878249)",0
CORCORANS PANTRY INC,9412.0,4333.0,4200.0,B,1105 W BRYN MAWR AVE,60660.0,EDGEWATER,77.0,48.0,17031030701.0,170310000000000.0,1167789.171,1937316.92,41.98354479,-87.65826767,"(41.9835447852, -87.6582676725)",0
JEWEL FOOD STORE #3477,1372.0,259.0,17676.0,A,4734 N CUMBERLAND AVE,60656.0,OHARE,76.0,36.0,17031760802.0,170318000000000.0,1119277.591,1930595.659,41.9660114,-87.83683117,"(41.9660114013, -87.8368311691)",0
SUPERMERCADO EL GUERO NO. 8,20973.0,8662.0,14000.0,A,2101 W CERMAK RD,60608.0,LOWER WEST SIDE,31.0,25.0,17031841300.0,170318000000000.0,1162678.162,1889348.683,41.85202569,-87.67841224,"(41.8520256918, -87.6784122433)",0
3600 COMMISSARY,24279.0,9830.0,3800.0,B,3600 N LAKE SHORE DR,60613.0,LAKE VIEW,6.0,46.0,17031060900.0,170311000000000.0,1171865.819,1924645.038,41.94868367,-87.64364976,"(41.9486836744, -87.6436497585)",0
LA CIENEGA SUPER FOOD INC,65173.0,20310.0,10000.0,A,10736 S EWING AVE,60617.0,EAST SIDE,52.0,10.0,17031520300.0,170315000000000.0,1202148.292,1834213.572,41.69981485,-87.53542689,"(41.6998148465, -87.5354268905)",0
"MORELIA SUPERMARKET #2, INC.",1648410.0,298039.0,12000.0,A,4833 W DIVERSEY AVE,60639.0,BELMONT CRAGIN,19.0,31.0,17031190800.0,170312000000000.0,1143539.264,1918138.099,41.93140629,-87.74793697,"(41.931406291, -87.7479369735)",0
BURNHAM PLAZA MART,2014232.0,350131.0,2950.0,B,828 S WABASH AVE,60605.0,LOOP,32.0,2.0,17031320600.0,170313000000000.0,1176878.787,1896537.846,41.8714442,-87.62607513,"(41.8714441963, -87.6260751303)",0
INTERNATIONAL FOODS NW INC,1129.0,215.0,14000.0,A,4404 W FULLERTON AVE,60639.0,HERMOSA,20.0,31.0,17031200200.0,170312000000000.0,1146590.136,1915632.373,41.92447264,-87.73678951,"(41.9244726356, -87.736789505)",0
MICHAELS FRESH MARKET,2043177.0,354856.0,41000.0,A,1300 E 47TH ST,60653.0,KENWOOD,39.0,4.0,17031390100.0,170314000000000.0,1185546.308,1874136.304,41.80977273,-87.59496089,"(41.8097727266, -87.5949608909)",0
M & D VARIETY STORE,18355.0,7524.0,4500.0,B,1300 W 111TH ST,60643.0,MORGAN PARK,75.0,34.0,17031750100.0,170318000000000.0,1169607.667,1831203.275,41.69231963,-87.65466321,"(41.6923196266, -87.6546632113)",0
JEWEL FOOD STORE #3344,1192905.0,259.0,63407.0,A,1220 S ASHLAND AVE,60608.0,NEAR WEST SIDE,28.0,2.0,17031842900.0,170318000000000.0,1165876.732,1894558.435,41.86625418,-87.66652414,"(41.8662541761, -87.6665241401)",0
Three Stars Liquors,1488855.0,274865.0,4600.0,B,310 N KOSTNER AVE,60624.0,WEST GARFIELD PARK,26.0,28.0,17031260400.0,170313000000000.0,1146960.84,1901550.342,41.88582299,-87.73578781,"(41.8858229904, -87.7357878114)",0
79 FOOD BASKET,1958784.0,341069.0,3000.0,B,1351 W 79TH ST,60620.0,AUBURN GRESHAM,71.0,21.0,17031710700.0,170317000000000.0,1168478.938,1852330.815,41.75032112,-87.65818905,"(41.7503211206, -87.6581890529)",0
JEWEL-OSCO #3632,2037181.0,259.0,62349.0,A,3630 N SOUTHPORT AVE,60613.0,LAKE VIEW,6.0,44.0,17031060400.0,170311000000000.0,1166281.151,1924353.278,41.94800455,-87.66418623,"(41.9480045508, -87.6641862307)",1
ASHLAND FOOD AND LIQUORS,11636.0,5463.0,10001.0,A,1554 W 95TH ST,60643.0,WASHINGTON HEIGHTS,73.0,21.0,17031730201.0,170317000000000.0,1167375.751,1841756.373,41.72132699,-87.66253366,"(41.7213269867, -87.6625336585)",0
ROSE-RIDGE FOODS,1145417.0,216010.0,3000.0,B,10500 S MICHIGAN AVE,60628.0,ROSELAND,49.0,9.0,17031490902.0,170315000000000.0,1178820.315,1835321.04,41.70341522,-87.62080968,"(41.7034152187, -87.6208096791)",0
COTTAGE GROVE FOOD MART,1898994.0,329883.0,4000.0,B,6307 S COTTAGE GROVE AVE,60637.0,WOODLAWN,42.0,20.0,17031420800.0,170314000000000.0,1182688.792,1863317.521,41.78015196,-87.60577752,"(41.7801519592, -87.6057775241)",0
T & Z MEAT,1974575.0,343806.0,3000.0,B,3021 N CICERO AVE,60641.0,BELMONT CRAGIN,19.0,31.0,17031190100.0,170312000000000.0,1143886.979,1919747.429,41.93581593,-87.7466187,"(41.9358159257, -87.7466186972)",0
"LA LOMA ""CARNICERIA Y TAQUERIA""",49880.0,17241.0,4501.0,B,2535 N LARAMIE AVE,60639.0,BELMONT CRAGIN,19.0,31.0,17031190800.0,170312000000000.0,1141327.094,1916530.522,41.92703609,-87.75610618,"(41.9270360931, -87.756106183)",0
CARNICERIA JIMENEZ #2,48081.0,16943.0,19000.0,A,3850 W FULLERTON AVE,60647.0,LOGAN SQUARE,22.0,30.0,17031220701.0,170312000000000.0,1150082.915,1915713.668,41.92462832,-87.72395332,"(41.9246283205, -87.723953321)",0
HOA NOM CO,8425.0,62866.0,4200.0,B,1101 W ARGYLE ST,60640.0,UPTOWN,3.0,48.0,17031031200.0,170310000000000.0,1167937.142,1933534.056,41.9731613,-87.65783318,"(41.9731612999, -87.6578331796)",0
ROYLA BLUE FOODS,27007.0,63611.0,2500.0,B,4359 S CAMPBELL AVE,60632.0,BRIGHTON PARK,58.0,12.0,17031580700.0,170316000000000.0,1160464.17,1875452.004,41.81393768,-87.68692201,"(41.8139376802, -87.686922014)",0
JEWEL FOOD STORE #3057,1400.0,259.0,21785.0,A,6057 S WESTERN AVE,60636.0,CHICAGO LAWN,66.0,16.0,17031835000.0,170318000000000.0,1161455.12,1864207.62,41.78306114,-87.68359887,"(41.7830611377, -87.6835988697)",0
QUINTESSENCE,2033012.0,350756.0,3000.0,B,1532 N PULASKI RD,60651.0,HUMBOLDT PARK,23.0,30.0,17031230600.0,170312000000000.0,1149393.379,1910052.789,41.90910776,-87.72663415,"(41.909107755, -87.7266341469)",0
CERMAK PRODUCE,1476654.0,273149.0,29000.0,A,4234 N KEDZIE AVE,60618.0,IRVING PARK,16.0,33.0,17031160501.0,170312000000000.0,1154249.872,1928122.48,41.95859672,-87.70830958,"(41.9585967247, -87.7083095759)",0
OLD WORLD MARKET,7507.0,3851.0,10001.0,A,5129 N BROADWAY,60640.0,UPTOWN,3.0,48.0,17031031200.0,170310000000000.0,1167423.681,1934373.334,41.9754754,-87.65969701,"(41.9754753986, -87.6596970117)",0
MEHRAB ZABIHA MEAT & TOBACCO,1094121.0,207539.0,3000.0,B,2445 W DEVON AVE,60659.0,WEST RIDGE,2.0,50.0,17031020802.0,170310000000000.0,1158669.747,1942366.008,41.99759202,-87.69166812,"(41.9975920168, -87.6916681219)",0
KING FOOD & LIQUOR,40321.0,2926.0,3750.0,B,6858 S HALSTED ST,60621.0,ENGLEWOOD,68.0,6.0,17031681100.0,170317000000000.0,1172117.495,1859139.651,41.7689263,-87.644656,"(41.7689262968, -87.644655997)",0
PAULINA SUPER MARKET INC,4851.0,3286.0,7000.0,B,7622 N PAULINA ST,60626.0,ROGERS PARK,1.0,49.0,17031010100.0,170310000000000.0,1163617.239,1950601.539,42.02008732,-87.67323456,"(42.020087315, -87.6732345632)",0
ALDI FOODS-STORE #27,13986.0,5273.0,12300.0,A,3363 N MILWAUKEE AVE,60641.0,IRVING PARK,16.0,30.0,17031161300.0,170312000000000.0,1148660.977,1922173.951,41.94238351,-87.72901086,"(41.9423835134, -87.7290108595)",1
ALDI INC STORE #62,14006.0,5273.0,9495.0,B,1739 W CERMAK RD,60608.0,LOWER WEST SIDE,31.0,25.0,17031843200.0,170318000000000.0,1164949.346,1889411.852,41.8521512,-87.6700746,"(41.8521511995, -87.6700746019)",1
"MY RANCH, INC.",1899688.0,20694.0,8500.0,B,4650 N SHERIDAN RD,60640.0,UPTOWN,3.0,46.0,17031830700.0,170310000000000.0,1168740.462,1931286.882,41.96697757,-87.65494464,"(41.9669775683, -87.6549446417)",0
SAVE-A-LOT  #851,1167119.0,216203.0,114100.0,A,10700 S HALSTED ST,60628.0,MORGAN PARK,75.0,34.0,17031750100.0,170318000000000.0,1172839.769,1833862.847,41.69954741,-87.64275192,"(41.6995474147, -87.6427519151)",0
MARIO 'S BUTCHER SHOP FD CNTR,4248.0,85432.0,10001.0,A,5817 W MADISON ST,60644.0,AUSTIN,25.0,29.0,17031252101.0,170313000000000.0,1137524.334,1899380.951,41.88004498,-87.77049338,"(41.8800449808, -87.7704933793)",0
BOCKWINKELS,1491357.0,276156.0,7200.0,B,222 N COLUMBUS DR,60601.0,LOOP,32.0,42.0,17031320100.0,170313000000000.0,1178260.623,1901977.453,41.88633942,-87.62083615,"(41.886339416, -87.62083615)",0
SUPERMERCADO ALEX,1772307.0,4076.0,9375.0,B,4134 W 31ST ST,60623.0,SOUTH LAWNDALE,30.0,22.0,17031301803.0,170313000000000.0,1149168.237,1883754.741,41.83694724,-87.72814236,"(41.8369472381, -87.7281423632)",0
HALAL MEAT & GROCERY,55665.0,18191.0,2500.0,B,1414 W DEVON AVE,60660.0,ROGERS PARK,1.0,40.0,17031010600.0,170310000000000.0,1165598.639,1942654.154,41.99823739,-87.6661711,"(41.9982373871, -87.6661711005)",0
SOUTH SHORE FOOD MARKET INC.,2008403.0,349092.0,3000.0,B,7501 S JEFFERY BLVD,60649.0,SOUTH SHORE,43.0,8.0,17031431200.0,170314000000000.0,1190880.91,1855602.529,41.75878729,-87.57599348,"(41.7587872873, -87.5759934845)",0
SUPERMERCADO EL MEXICANO,1840895.0,295467.0,4387.0,B,6701 N CLARK ST,60626.0,ROGERS PARK,1.0,49.0,17031830600.0,170318000000000.0,1163903.508,1944589.819,42.00358497,-87.67235193,"(42.0035849743, -87.6723519319)",0
LA PROVIDENCIA FOOD MART,16986.0,6991.0,2572.0,B,1658 W 21ST ST,60608.0,LOWER WEST SIDE,31.0,25.0,17031310800.0,170313000000000.0,1165383.899,1890168.895,41.85421937,-87.66845816,"(41.8542193742, -87.6684581591)",0
ALDI #79,1515471.0,5273.0,15150.0,A,7800 S SOUTH CHICAGO AVE,60619.0,AVALON PARK,45.0,5.0,17031834300.0,170318000000000.0,1187754.155,1853373.518,41.75274564,-87.58752349,"(41.7527456405, -87.5875234853)",1
DOMINICK'S # 86/1086,41625.0,5033.0,10001.0,A,3350 N WESTERN AVE,60618.0,NORTH CENTER,5.0,47.0,17031843700.0,170318000000000.0,1159720.98,1922387.081,41.9427472,-87.68835432,"(41.9427471952, -87.6883543215)",1
FAMILY PRIDE,77270.0,22785.0,12500.0,A,10601 S PULASKI RD,60655.0,MOUNT GREENWOOD,74.0,19.0,17031740200.0,170317000000000.0,1151594.306,1833996.48,41.70035527,-87.7205409,"(41.7003552742, -87.7205408964)",0
ALDI INC #58,13974.0,5273.0,12571.0,A,2431 W MONTROSE AVE,60618.0,NORTH CENTER,5.0,47.0,17031050300.0,170311000000000.0,1159231.783,1929105.896,41.9611941,-87.68996697,"(41.9611940986, -87.6899669704)",1
CARNICERIA LA VILLA #2,2060542.0,357089.0,3289.0,B,5800 W GRAND AVE,60639.0,BELMONT CRAGIN,19.0,37.0,17031191302.0,170312000000000.0,1137365.901,1913858.093,41.9197749,-87.77072653,"(41.919774901, -87.7707265258)",0
TREASURE ISLAND FOODS INC,1303.0,85291.0,10001.0,A,75 W ELM ST,60610.0,NEAR NORTH SIDE,8.0,42.0,17031081000.0,170311000000000.0,1175348.304,1908034.504,41.90302614,-87.63134877,"(41.9030261368, -87.6313487722)",0
JEWEL FOOD STORE #3241,1398.0,259.0,24262.0,A,1341 N PAULINA ST,60622.0,WEST TOWN,24.0,1.0,17031241500.0,170312000000000.0,1164854.812,1909123.544,41.9062437,-87.66986228,"(41.9062437031, -87.6698622813)",0
WHOLE FOODS MARKET,1933690.0,86298.0,74883.0,A,1550 N KINGSBURY ST,60642.0,NEAR NORTH SIDE,8.0,32.0,17031842200.0,170318000000000.0,1169422.033,1910309.104,41.90939879,-87.6530507,"(41.9093987878, -87.6530506979)",0
JOSEPH FOOD MART,6157.0,62754.0,3000.0,B,8235 W IRVING PARK RD,60634.0,DUNNING,17.0,36.0,17031170500.0,170312000000000.0,1120303.897,1925502.425,41.95201856,-87.83316684,"(41.9520185577, -87.8331668434)",0
HARPER FOODS,57683.0,18537.0,3300.0,B,1455 E 57TH ST,60637.0,HYDE PARK,41.0,5.0,17031411100.0,170314000000000.0,1187084.079,1867457.995,41.79141057,-87.58953263,"(41.7914105694, -87.5895326278)",0
POTASH BROS. SUPERMARKET,164.0,21.0,12000.0,A,1525 N CLARK ST,60610.0,NEAR NORTH SIDE,8.0,42.0,17031080201.0,170311000000000.0,1175288.471,1910618.448,41.91011794,-87.63149089,"(41.9101179449, -87.6314908914)",0
Baltimore Food & Liquor,1446831.0,270755.0,3404.0,B,13322 S BALTIMORE AVE,60633.0,HEGEWISCH,55.0,10.0,17031550100.0,170316000000000.0,1199061.975,1817112.13,41.65296461,-87.54729865,"(41.6529646117, -87.5472986528)",0
Supermercado Santos,1091886.0,206261.0,4000.0,B,4045 W 31ST ST,60623.0,SOUTH LAWNDALE,30.0,22.0,17031830500.0,170318000000000.0,1149716.405,1883686.719,41.83674996,-87.72613266,"(41.8367499608, -87.7261326568)",0
CERMAK PRODUCE,53313.0,17784.0,10000.0,A,4800 W DIVERSEY AVE,60639.0,BELMONT CRAGIN,19.0,31.0,17031190200.0,170312000000000.0,1143869.848,1918226.044,41.93164142,-87.74671991,"(41.9316414204, -87.7467199106)",0
NICKEL LIQUOR & MINI MART INC,22084.0,9178.0,10001.0,A,3637 W DIVISION ST,60651.0,HUMBOLDT PARK,23.0,27.0,17031231200.0,170312000000000.0,1151779.243,1907710.538,41.90263376,-87.71793124,"(41.9026337556, -87.7179312389)",0
TRADER JOE'S EAST,1277005.0,211718.0,11600.0,A,1840 N CLYBOURN AVE,60614.0,LINCOLN PARK,7.0,32.0,17031832600.0,170318000000000.0,1168978.244,1912136.792,41.91442371,-87.65462784,"(41.9144237141, -87.654627843)",1
WALGREENS #162,18419.0,147.0,,A,1554 E 55TH ST,60615.0,HYDE PARK,41.0,4.0,17031410800.0,170314000000000.0,1187538.136,1868878.342,41.79529732,-87.58782256,"(41.79529732, -87.58782256)",0
"TONY'S FINER FOODS ENTERPRISES, INC.",1717529.0,305203.0,31000.0,A,4137 N ELSTON AVE,60618.0,IRVING PARK,16.0,39.0,17031160400.0,170312000000000.0,1150401.299,1927194.414,41.9561262,-87.72248283,"(41.9561262015, -87.7224828263)",0
Natural Country Deli,2017781.0,350688.0,3500.0,B,6452 N MILWAUKEE AVE,60631.0,NORWOOD PARK,10.0,41.0,17031100200.0,170311000000000.0,1132184.543,1942510.932,41.99849297,-87.78909537,"(41.9984929696, -87.7890953687)",0
LOGAN CERTIFIED FOODS CORP,1046303.0,23391.0,4500.0,B,2857 W DIVERSEY AVE,60647.0,LOGAN SQUARE,22.0,35.0,17031220400.0,170312000000000.0,1156600.297,1918436.531,41.93197047,-87.69993162,"(41.93197047, -87.699931619)",0
JEWEL FOOD STORE #3170,1366.0,259.0,30374.0,A,5320 S PULASKI RD,60632.0,WEST ELSDON,62.0,23.0,17031620200.0,170316000000000.0,1150568.177,1868914.952,41.79619759,-87.72339188,"(41.7961975914, -87.7233918834)",0
MOUNSEF INTERNATIONAL,21126.0,86704.0,10001.0,A,4738 N KEDZIE AVE,60625.0,ALBANY PARK,14.0,33.0,17031140701.0,170311000000000.0,1154145.71,1931473.088,41.96779309,-87.7086027,"(41.9677930872, -87.7086027049)",0
EL YUNQUE FOOD & LIQUOR,1986802.0,346323.0,2500.0,B,1900 N CALIFORNIA AVE,60647.0,LOGAN SQUARE,22.0,35.0,17031222500.0,170312000000000.0,1157361.323,1912535.096,41.91576102,-87.69729581,"(41.9157610232, -87.6972958109)",0
"SEVEN NINE ELEVEN FOOD MART, INC.",2036.0,401.0,4300.0,B,4884 S ARCHER AVE,60632.0,ARCHER HEIGHTS,57.0,14.0,17031570400.0,170316000000000.0,1151496.512,1871991.203,41.80462115,-87.71990707,"(41.8046211506, -87.7199070655)",0
A & R FOOD MART,9125.0,4227.0,2500.0,B,5952 W GRAND AVE,60639.0,BELMONT CRAGIN,19.0,37.0,17031191302.0,170312000000000.0,1136148.465,1914149.527,41.92059646,-87.77519268,"(41.9205964582, -87.7751926809)",0
GRAND FOOD MARKET,1221783.0,223107.0,3952.0,B,5202 W GRAND AVE,60639.0,BELMONT CRAGIN,19.0,37.0,17031191200.0,170312000000000.0,1141369.196,1912898.166,41.91706775,-87.75604133,"(41.9170677465, -87.7560413324)",0
SAM FOOD AND LIQUOR,8745.0,4153.0,3000.0,B,6812 N SHERIDAN RD,60626.0,ROGERS PARK,1.0,49.0,17031010502.0,170310000000000.0,1166934.709,1945473.413,42.00594482,-87.66117475,"(42.0059448161, -87.6611747511)",0
ALMUFLIHI FOOD & LIQUOR,62800.0,86373.0,4500.0,B,5404 S HALSTED ST,60609.0,NEW CITY,61.0,20.0,17031612100.0,170316000000000.0,1171851.22,1868956.535,41.7958708,-87.64534412,"(41.7958707987, -87.6453441182)",0
PETE'S MEAT & GROCERY #2,1646096.0,296662.0,7500.0,B,2001 W 71ST ST,60636.0,WEST ENGLEWOOD,67.0,17.0,17031672000.0,170317000000000.0,1164235.477,1857536.331,41.76469612,-87.67359278,"(41.764696121, -87.6735927847)",0
FIVE STAR CERTIFIED INC,7168.0,3771.0,5000.0,B,935 W 87TH ST,60620.0,AUBURN GRESHAM,71.0,21.0,17031711400.0,170317000000000.0,1171458.618,1847102.195,41.73590841,-87.64742288,"(41.7359084057, -87.6474228803)",0
Dominick's #1703,1574461.0,5033.0,49320.0,A,255 E GRAND AVE,60611.0,NEAR NORTH SIDE,8.0,42.0,17031081403.0,170311000000000.0,1178351.17,1903928.033,41.89168984,-87.62044413,"(41.8916898398, -87.6204441348)",1
SUPER MERCADO EL GUERRO,7546.0,3857.0,9375.0,B,1701 W 47TH ST,60609.0,NEW CITY,61.0,20.0,17031611300.0,170316000000000.0,1165786.546,1873500.583,41.80847124,-87.66745451,"(41.8084712383, -87.6674545133)",0
PETE'S FRESH SUPERMARKET,1771242.0,312119.0,,A,2526 W CERMAK RD,60608.0,SOUTH LAWNDALE,30.0,28.0,17031840700.0,170318000000000.0,1159779.467,1889354.072,41.85210065,-87.68905111,"(41.85210065, -87.68905111)",0
Chicago Health - Maple Street,2065274.0,357879.0,2900.0,B,22 W MAPLE ST,60610.0,NEAR NORTH SIDE,8.0,42.0,17031081100.0,170311000000000.0,1175919.202,1907658.874,41.90198255,-87.6292631,"(41.9019825524, -87.6292631031)",0
NEW POP-IN,1719179.0,306063.0,8784.0,B,413 S KEDZIE AVE,60612.0,EAST GARFIELD PARK,27.0,28.0,17031271200.0,170313000000000.0,1155148.678,1897819.117,41.87542375,-87.70582036,"(41.8754237451, -87.7058203625)",0
W & R FOOD & LIQUOR INC,19348.0,7922.0,2700.0,B,1717 E 79TH ST,60649.0,SOUTH CHICAGO,46.0,8.0,17031460500.0,170315000000000.0,1189209.383,1852902.615,41.7514187,-87.58220582,"(41.7514187003, -87.5822058165)",0
"Kan-Zaman Mart, Inc.",1119908.0,209575.0,4600.0,B,2005 S MICHIGAN AVE,60616.0,NEAR SOUTH SIDE,33.0,2.0,17031330100.0,170313000000000.0,1177567.032,1890666.648,41.85531767,-87.62372652,"(41.855317671, -87.6237265152)",0
Z & S FOOD & LIQUOR,7382.0,3827.0,6000.0,B,1351 W 87TH ST,60620.0,AUBURN GRESHAM,71.0,21.0,17031711400.0,170317000000000.0,1168619.056,1847024.554,41.73575698,-87.65782823,"(41.7357569772, -87.6578282347)",0
DEVON MARKET,1042888.0,201952.0,18500.0,A,1440 W DEVON AVE,60660.0,ROGERS PARK,1.0,40.0,17031010600.0,170310000000000.0,1165344.955,1942648.85,41.99822825,-87.66710447,"(41.9982282538, -87.6671044665)",0
JEWEL FOOD STORE #3176,1404.0,259.0,32294.0,A,9400 S ASHLAND AVE,60620.0,WASHINGTON HEIGHTS,73.0,21.0,17031730300.0,170317000000000.0,1167281.295,1842343.881,41.72294122,-87.66286287,"(41.7229412182, -87.6628628713)",0
ORLEANS MARKET,23467.0,9485.0,3002.0,B,316 W ILLINOIS ST,60610.0,NEAR NORTH SIDE,8.0,42.0,17031081800.0,170311000000000.0,1174028.504,1903591.667,41.89086429,-87.63632919,"(41.8908642852, -87.6363291879)",0
CAESAR'S FOODS INC,13670.0,6312.0,10001.0,A,901 N DAMEN AVE,60622.0,WEST TOWN,24.0,32.0,17031242200.0,170312000000000.0,1162946.627,1906024.244,41.89777928,-87.67695887,"(41.8977792769, -87.6769588663)",0
HAPPY FOODS,1618660.0,294177.0,11000.0,A,6783 N NORTHWEST HWY,60631.0,EDISON PARK,9.0,41.0,17031090200.0,170311000000000.0,1124182.694,1944613.811,42.00439926,-87.81848576,"(42.0043992612, -87.8184857554)",0
"WAY LOW DISCOUNT FOOD, INC.",41036.0,16053.0,2500.0,B,1551 S KEDZIE AVE,60623.0,NORTH LAWNDALE,29.0,24.0,17031843100.0,170318000000000.0,1155321.423,1892143.566,41.85984596,-87.70533855,"(41.8598459614, -87.705338554)",0
ZEE DOLLAR AND FOOD,2014197.0,350114.0,3000.0,B,375 E 75TH ST,60619.0,GREATER GRAND CROSSING,69.0,6.0,17031691300.0,170317000000000.0,1180143.282,1855330.442,41.75829332,-87.61535411,"(41.758293315, -87.6153541087)",0
J R GROCERY STORE,5644.0,3466.0,10001.0,A,505 E 134TH ST,60827.0,RIVERDALE,54.0,9.0,17031540101.0,170315000000000.0,1182103.266,1816525.013,41.65176106,-87.60936661,"(41.6517610645, -87.6093666123)",0
CENTRO MARKET,66257.0,20469.0,9100.0,B,5153 S KEDZIE AVE,60632.0,GAGE PARK,63.0,14.0,17031630400.0,170316000000000.0,1155963.76,1870068.76,41.79925704,-87.70357471,"(41.7992570437, -87.7035747066)",0
SAVE-A-LOT  #852,1145759.0,216203.0,14166.0,A,7240 S STONY ISLAND AVE,60649.0,SOUTH SHORE,43.0,5.0,17031430400.0,170314000000000.0,1188030.885,1857120.957,41.76302237,-87.58639016,"(41.7630223653, -87.5863901619)",0
"TONY'S FINER FOODS ENTERPRISES, INC.",1717532.0,305203.0,33000.0,A,4608 W BELMONT AVE,60641.0,PORTAGE PARK,15.0,30.0,17031151002.0,170312000000000.0,1144945.503,1920912.785,41.93899382,-87.74269899,"(41.9389938243, -87.7426989895)",0
FOOD 4 LESS MIDWEST #789,1272529.0,251246.0,64486.0,A,4620 S DAMEN AVE,60609.0,NEW CITY,61.0,12.0,17031610300.0,170316000000000.0,1163694.548,1873920.779,41.80966853,-87.6751157,"(41.809668528, -87.6751156964)",1
ADAMS FOOD MART,1817376.0,316090.0,2500.0,B,559 N LARAMIE AVE,60644.0,AUSTIN,25.0,28.0,17031251600.0,170313000000000.0,1141632.26,1903412.652,41.89103355,-87.75530965,"(41.8910335471, -87.7553096457)",0
DOLLAR & LINEN,1875260.0,46290.0,5800.0,B,1853 W 87TH ST,60620.0,AUBURN GRESHAM,71.0,21.0,17031711300.0,170317000000000.0,1165310.584,1846937.633,41.73558907,-87.66995173,"(41.7355890742, -87.6699517263)",0
ALDI INC STORE 14,1242812.0,5273.0,15000.0,A,5629 W FILLMORE ST,60644.0,AUSTIN,25.0,29.0,17031831400.0,170318000000000.0,1138888.16,1894751.192,41.86731565,-87.76559794,"(41.8673156479, -87.765597943)",1
RICHWELL MARKET,1070189.0,205927.0,7500.0,B,1835 S CANAL ST,60616.0,LOWER WEST SIDE,31.0,25.0,17031843200.0,170318000000000.0,1173469.326,1891121.287,41.85665718,-87.63875335,"(41.8566571782, -87.6387533453)",0
WALGREENS #05034,18768.0,7551.0,,A,6315 S KEDZIE AVE,60629.0,CHICAGO LAWN,66.0,15.0,17031660600.0,170317000000000.0,1156182.658,1862477.573,41.77842134,-87.70297606,"(41.77842134, -87.70297606)",0
DOMINICK'S # 12/0012,41645.0,5033.0,10001.0,A,6009 N BROADWAY,60660.0,EDGEWATER,77.0,48.0,17031030101.0,170310000000000.0,1167254.139,1940095.836,41.99118175,-87.66015508,"(41.9911817534, -87.6601550832)",1
BUDGET FINER FOODS,1337515.0,260726.0,3200.0,B,6604 N SHERIDAN RD,60626.0,ROGERS PARK,1.0,49.0,17031010502.0,170310000000000.0,1167008.167,1944300.998,42.00272611,-87.66093837,"(42.0027261067, -87.6609383664)",0
DISCOUNT PANTRY CORPORATION,32952.0,14616.0,3600.0,B,4153 W 63RD ST,60629.0,WEST LAWN,65.0,13.0,17031650301.0,170317000000000.0,1149540.479,1862455.906,41.77849291,-87.72732752,"(41.7784929073, -87.727327519)",0
PAR BIRDIE FOODS,28222.0,11464.0,6000.0,B,2234 W DEVON AVE,60659.0,WEST RIDGE,2.0,50.0,17031020500.0,170310000000000.0,1160106.823,1942489.414,41.99790097,-87.68637822,"(41.9979009735, -87.6863782179)",0
JEWEL FOOD STORE #3441,1375.0,259.0,22443.0,A,2940 N ASHLAND AVE,60657.0,LAKE VIEW,6.0,32.0,17031062600.0,170311000000000.0,1165101.021,1919776.936,41.93547203,-87.66865454,"(41.9354720327, -87.6686545431)",0
CHARLIES  SUPERMARKET INC.,1441898.0,268397.0,2500.0,B,2941 W MONTROSE AVE,60618.0,IRVING PARK,16.0,33.0,17031160601.0,170312000000000.0,1155799.622,1929051.344,41.96111443,-87.70258694,"(41.9611144263, -87.7025869386)",0
JEWEL FOOD STORE #3501,1192909.0,259.0,56010.0,A,3400 N WESTERN AVE,60618.0,NORTH CENTER,5.0,47.0,17031843700.0,170318000000000.0,1159734.001,1922547.59,41.94318737,-87.68830202,"(41.9431873732, -87.6883020207)",0
4343 PETES FRESH MARKET,1336669.0,260303.0,57000.0,A,4343 S PULASKI RD,60632.0,ARCHER HEIGHTS,57.0,14.0,17031570100.0,170316000000000.0,1150447.926,1875370.286,41.81391431,-87.72366494,"(41.8139143113, -87.7236649419)",0
LA FERIA GROCERY,26609.0,11067.0,10001.0,A,9704 S COMMERCIAL AVE,60617.0,SOUTH DEERING,51.0,10.0,17031510100.0,170315000000000.0,1197784.63,1841132.978,41.71891216,-87.5511743,"(41.7189121563, -87.5511742972)",0
POTASH BROS INC,19826.0,8018.0,10001.0,A,875 N STATE ST,60610.0,NEAR NORTH SIDE,8.0,42.0,17031081201.0,170311000000000.0,1176242.1,1906530.221,41.8988782,-87.62811115,"(41.8988781974, -87.6281111483)",0
IMPERIAL TOWER MARKET,22624.0,9323.0,6031.0,B,4250 N MARINE DR,60613.0,UPTOWN,3.0,46.0,17031031400.0,170310000000000.0,1170946.917,1928768.91,41.96001995,-87.64690603,"(41.960019954, -87.6469060276)",0
